Par de Robôs,Distância (m),Duração (s)
robot_0<->robot_2,3.00,7.10
robot_0<->robot_2,4.98,11.20
robot_0<->robot_2,6.60,1.00
robot_0<->robot_2,3.02,8.40
robot_0<->robot_2,6.64,0.70
robot_0<->robot_2,6.64,25.20
robot_0<->robot_2,5.34,3.40
robot_0<->robot_2,3.22,0.80
robot_0<->robot_2,1.81,0.20
robot_0<->robot_2,1.85,0.90
robot_0<->robot_2,2.11,0.10
robot_0<->robot_2,6.80,6.40
robot_0<->robot_2,6.80,0.00
robot_1<->robot_2,1.57,45.70
robot_1<->robot_2,6.70,12.00
robot_1<->robot_2,6.68,10.30
robot_1<->robot_2,6.81,12.00
robot_1<->robot_2,1.43,2.60
robot_1<->robot_2,1.52,0.10
robot_1<->robot_2,1.91,0.40
robot_1<->robot_2,2.14,31.80
robot_1<->robot_2,3.55,3.20
robot_1<->robot_2,3.34,11.90
robot_0<->robot_1,6.81,1.60
robot_0<->robot_1,5.86,11.70
robot_0<->robot_1,0.80,22.70
robot_0<->robot_1,1.98,9.00
robot_0<->robot_1,5.84,3.20
robot_0<->robot_1,6.10,0.30
robot_0<->robot_1,1.37,35.60
